ppl,trial,sample,log_predictive,average_log_predictive
stan,0,1,5.088526327846957,5.088526327846957
stan,0,2,5.088526327846957,5.088526327846957
stan,0,3,5.088526327846957,5.088526327846957
stan,0,4,5.088526327846957,5.088526327846957
stan,0,5,5.088526327846957,5.088526327846957
stan,0,6,5.088526327846957,5.088526327846957
stan,0,7,5.088553754524977,5.088529756222847
stan,0,8,5.088890522544425,5.088569847797565
stan,0,9,5.0892252555001924,5.088635407901374
stan,0,10,5.08942108034723,5.088706858182132
stan,0,11,5.089932178755599,5.088809025594983
stan,0,12,5.089932178755599,5.08889546679217
stan,0,13,5.104640592455158,5.090028377184106
stan,0,14,5.104922146954504,5.09102822614512
stan,0,15,5.1051057429678295,5.091913900799247
stan,0,16,5.105187258981799,5.092699582673488
stan,0,17,5.105400048491082,5.093409411754938
stan,0,18,5.1054818776983675,5.094048451330737
stan,0,19,5.105600967929207,5.094629257861463
stan,0,20,5.105726355798705,5.095160492879797
stan,0,21,5.106258387395936,5.095667623566824
stan,0,22,5.106448778495162,5.096138794330972
stan,0,23,5.10689890852253,5.096589451620323
stan,0,25,5.107348450417974,5.0974153982667865
stan,0,26,5.108268653882835,5.097819478313497
stan,0,27,5.108894761347387,5.09821714355664
stan,0,28,5.109400236733067,5.098604856583194
stan,0,30,5.110145016577279,5.099340251784198
stan,0,31,5.110189959630173,5.099681093046499
stan,0,33,5.110501802289224,5.100318689849423
stan,0,34,5.111757609485458,5.100647338531498
stan,0,36,5.11188614626632,5.101254071756875
stan,0,38,5.112019400186549,5.101808551090561
stan,0,39,5.112211721488315,5.102069953709739
stan,0,41,5.112783773731474,5.102578669327501
stan,0,43,5.112948869836351,5.103048644407378
stan,0,45,5.113176998770715,5.103490453996793
stan,0,47,5.113296753179936,5.103899203211764
stan,0,50,5.113903034280085,5.104475721227363
stan,0,52,5.1147322487835085,5.104856611397539
stan,0,54,5.1151785830026615,5.10523216734036
stan,0,57,5.1175258899566085,5.105792042255358
stan,0,60,5.118878250326139,5.106424625614047
stan,0,63,5.119697846517126,5.107025940719786
stan,0,66,5.120546581227799,5.107631264837978
stan,0,69,5.122324784273737,5.10823445738952
stan,0,72,5.123321122278138,5.108846146937344
stan,0,75,5.123720399639937,5.109430146915669
stan,0,79,5.1245474332109735,5.110176090168171
stan,0,83,5.129532180453253,5.111103993166973
stan,0,87,5.131327327020952,5.11201841843506
stan,0,91,5.133005094290497,5.112934564759335
stan,0,95,5.133098138352667,5.11378144065651
stan,1,1,5.252573117409576,5.252573117409576
stan,1,2,5.252573117409576,5.252573117409576
stan,1,3,5.252573117409576,5.252573117409576
stan,1,4,5.252573117409576,5.252573117409576
stan,1,5,5.11757300189991,5.231301098916841
stan,1,6,5.037951100176155,5.20586510914785
stan,1,7,5.037951100176155,5.186354321920822
stan,1,8,4.9955793073897246,5.166867738724893
stan,1,9,4.994702951157601,5.150925375576249
stan,1,10,4.962621651799017,5.1351990051331935
stan,1,11,4.953949414605627,5.121288291364408
stan,1,12,4.9531315329669265,5.109310795048712
stan,1,13,4.952400467994643,5.0988838158414715
stan,1,14,4.9327330073502695,5.088625950176134
stan,1,15,4.9297887601137145,5.079404516052223
stan,1,16,4.927028907771922,5.071055981355906
stan,1,17,4.902377499078078,5.062395278371568
stan,1,18,4.816518229550145,5.05085624160299
stan,1,19,4.816343372313506,5.040349036490694
stan,1,20,4.812104838095338,5.030583887062644
stan,1,21,4.809976087681654,5.021544572357968
stan,1,22,4.807350963947155,5.013126285222896
stan,1,23,4.801579162951578,5.005150023531543
stan,1,25,4.770654914697506,4.989901191829736
stan,1,26,4.770444761077941,4.982576473721631
stan,1,27,4.760959803477056,4.97545195586175
stan,1,28,4.756536393130187,4.968649198845711
stan,1,30,4.74344325883973,4.955851554572045
stan,1,31,4.740373486793961,4.949775506183844
stan,1,33,4.736128431721291,4.938429968103734
stan,1,34,4.727066741950208,4.932971669778926
stan,1,36,4.724980078242846,4.922800116719124
stan,1,38,4.723377216890561,4.9135193654158025
stan,1,39,4.721238141149176,4.909136645434076
stan,1,41,4.718599303909946,4.90086901199734
stan,1,43,4.709095989461179,4.89303631693865
stan,1,45,4.700321228336024,4.885500170336044
stan,1,47,4.693309547341656,4.878234532375037
stan,1,50,4.669869596743459,4.867540782863372
stan,1,52,4.663011305714592,4.8606178538539115
stan,1,54,4.649086966433928,4.853735311024365
stan,1,57,4.635810866162468,4.843745386415104
stan,1,60,4.618938485831908,4.834104211356446
stan,1,63,4.611119069825339,4.824752385854862
stan,1,66,4.605000741306027,4.815914736270652
stan,1,69,4.584050839086792,4.807142856489405
stan,1,72,4.575982636360278,4.798684324453983
stan,1,75,4.5613913119138,4.790469960167689
stan,1,79,4.5492346105987025,4.779950546976268
stan,1,83,4.5218119740207365,4.769402616500461
stan,1,87,4.510299467577,4.759105851045108
stan,1,91,4.489318111241208,4.7490062955925065
stan,1,95,4.465442594342299,4.7389419476944425
stan,2,1,4.3625316622610235,4.3625316622610235
stan,2,2,4.3625316622610235,4.3625316622610235
stan,2,3,4.3625316622610235,4.3625316622610235
stan,2,4,4.3625316622610235,4.3625316622610235
stan,2,5,4.3625316622610235,4.3625316622610235
stan,2,6,4.362327152201532,4.362502449098789
stan,2,7,4.360636839326835,4.362269438128374
